Owner,Team,Player_Name,Player_Position,weeks_started,weeks_rostered,eligible,reason,source
Isaac,Zimbo Baggins,Matthew Stafford,QB,12,13,yes,"started 12 wks, rostered 13 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Khalil Shakir,WR,14,17,yes,"started 14 wks, rostered 17 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Ladd McConkey,WR,16,17,yes,"started 16 wks, rostered 17 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Travis Etienne Jr.,RB,13,17,yes,"started 13 wks, rostered 17 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Ashton Jeanty,RB,16,17,yes,"started 16 wks, rostered 17 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Brock Bowers,TE,13,17,yes,"started 13 wks, rostered 17 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Chris Godwin Jr.,WR,5,15,yes,"started 5 wks, rostered 15 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Tyler Allgeier,RB,3,16,yes,rostered 16 wks,yahoo weekly rosters
Isaac,Zimbo Baggins,Rashee Rice,WR,8,17,yes,"started 8 wks, rostered 17 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Sean Tucker,RB,2,6,NO,"failed both: started 2, rostered 6",yahoo weekly rosters
Isaac,Zimbo Baggins,Dallas Goedert,TE,5,14,yes,"started 5 wks, rostered 14 wks",yahoo weekly rosters
Isaac,Zimbo Baggins,Kyle Monangai,RB,2,10,yes,rostered 10 wks,yahoo weekly rosters
Isaac,Zimbo Baggins,Isiah Pacheco,RB,3,17,yes,rostered 17 wks,yahoo weekly rosters
Isaac,Zimbo Baggins,Jake Elliott,K,6,6,yes,started 6 wks,yahoo weekly rosters
Isaac,Zimbo Baggins,Browns,DEF,7,7,yes,started 7 wks,yahoo weekly rosters
Isaac,Zimbo Baggins,Eagles,DEF,0,7,NO,"failed both: started 0, rostered 7",yahoo weekly rosters
Chris,Wild Card Chris,Dak Prescott,QB,15,17,yes,"started 15 wks, rostered 17 wks",yahoo weekly rosters
Chris,Wild Card Chris,CeeDee Lamb,WR,13,17,yes,"started 13 wks, rostered 17 wks",yahoo weekly rosters
