Team,Owner,Player_Name,Player_Position,round,overall_pick,Draft_pick
Zimbo Baggins,Isaac,Matthew Stafford,QB,,,Undrafted
Zimbo Baggins,Isaac,Khalil Shakir,WR,10.0,97.0,"Round 10, Pick 7"
Zimbo Baggins,Isaac,Ladd McConkey,WR,3.0,24.0,"Round 3, Pick 4"
Zimbo Baggins,Isaac,Travis Etienne Jr.,RB,10.0,93.0,"Round 10, Pick 3"
Zimbo Baggins,Isaac,Ashton Jeanty,RB,2.0,13.0,"Round 2, Pick 3"
Zimbo Baggins,Isaac,Brock Bowers,TE,2.0,17.0,"Round 2, Pick 7"
Zimbo Baggins,Isaac,Chris Godwin Jr.,WR,13.0,125.0,"Round 13, Pick 5"
Zimbo Baggins,Isaac,Tyler Allgeier,RB,13.0,124.0,"Round 13, Pick 4"
Zimbo Baggins,Isaac,Rashee Rice,WR,8.0,77.0,"Round 8, Pick 7"
Zimbo Baggins,Isaac,Sean Tucker,RB,,,Undrafted
Zimbo Baggins,Isaac,Dallas Goedert,TE,12.0,113.0,"Round 12, Pick 3"
Zimbo Baggins,Isaac,Kyle Monangai,RB,,,Undrafted
Zimbo Baggins,Isaac,Isiah Pacheco,RB,7.0,64.0,"Round 7, Pick 4"
Zimbo Baggins,Isaac,Jake Elliott,K,,,Undrafted
Zimbo Baggins,Isaac,Browns,DEF,,,Undrafted
Zimbo Baggins,Isaac,Eagles,DEF,11.0,102.0,"Round 11, Pick 2"
Wild Card Chris,Chris,Dak Prescott,QB,11.0,109.0,"Round 11, Pick 9"
Wild Card Chris,Chris,CeeDee Lamb,WR,1.0,9.0,"Round 1, Pick 9"
Wild Card Chris,Chris,Jameson Williams,WR,5.0,49.0,"Round 5, Pick 9"
Wild Card Chris,Chris,D'Andre Swift,RB,6.0,52.0,"Round 6, Pick 2"
Wild Card Chris,Chris,Rhamondre Stevenson,RB,11.0,106.0,"Round 11, Pick 6"
Wild Card Chris,Chris,Kyle Pitts Sr.,TE,,,Undrafted
Wild Card Chris,Chris,Tee Higgins,WR,4.0,32.0,"Round 4, Pick 2"
Wild Card Chris,Chris,Kenny Gainwell,RB,,,Undrafted
Wild Card Chris,Chris,Jaylen Waddle,WR,7.0,69.0,"Round 7, Pick 9"
Wild Card Chris,Chris,George Kittle,TE,3.0,29.0,"Round 3, Pick 9"
Wild Card Chris,Chris,Rico Dowdle,RB,,,Undrafted
Wild Card Chris,Chris,Jayden Reed,WR,13.0,128.0,"Round 13, Pick 8"
Wild Card Chris,Chris,Jaylen Warren,RB,9.0,89.0,"Round 9, Pick 9"
Wild Card Chris,Chris,Audric Estime,RB,,,Undrafted
Wild Card Chris,Chris,Harrison Mevis,K,,,Undrafted
Wild Card Chris,Chris,Lions,DEF,,,Undrafted
Wild Card Chris,Chris,Malik Nabers,WR,2.0,12.0,"Round 2, Pick 2"
Lamar Jar Binks,Sonny,Shedeur Sanders,QB,,,Undrafted
Lamar Jar Binks,Sonny,Justin Jefferson,WR,1.0,6.0,"Round 1, Pick 6"
Lamar Jar Binks,Sonny,Chris Olave,WR,9.0,86.0,"Round 9, Pick 6"
Lamar Jar Binks,Sonny,Chase Brown,RB,2.0,15.0,"Round 2, Pick 5"
Lamar Jar Binks,Sonny,Kenneth Walker III,RB,5.0,46.0,"Round 5, Pick 6"
Lamar Jar Binks,Sonny,Juwan Johnson,TE,,,Undrafted
Lamar Jar Binks,Sonny,Tetairoa McMillan,WR,6.0,55.0,"Round 6, Pick 5"
Lamar Jar Binks,Sonny,Tyrone Tracy Jr.,RB,8.0,75.0,"Round 8, Pick 5"
Lamar Jar Binks,Sonny,Lamar Jackson,QB,3.0,26.0,"Round 3, Pick 6"
Lamar Jar Binks,Sonny,Christian Watson,WR,,,Undrafted
Lamar Jar Binks,Sonny,Mason Taylor,TE,,,Undrafted
Lamar Jar Binks,Sonny,Michael Pittman Jr.,WR,12.0,115.0,"Round 12, Pick 5"
Lamar Jar Binks,Sonny,Emanuel Wilson,RB,,,Undrafted
Lamar Jar Binks,Sonny,Tre Tucker,WR,,,Undrafted
Lamar Jar Binks,Sonny,Jason Myers,K,,,Undrafted
Lamar Jar Binks,Sonny,Seahawks,DEF,,,Undrafted
Lamar Jar Binks,Sonny,Sam LaPorta,TE,7.0,66.0,"Round 7, Pick 6"
Shedeur for ROTY,Marcus,Drake Maye,QB,,,Undrafted
Shedeur for ROTY,Marcus,Jaxon Smith-Njigba,WR,4.0,33.0,"Round 4, Pick 3"
Shedeur for ROTY,Marcus,George Pickens,WR,5.0,48.0,"Round 5, Pick 8"
Shedeur for ROTY,Marcus,Christian McCaffrey,RB,1.0,8.0,"Round 1, Pick 8"
Shedeur for ROTY,Marcus,Breece Hall,RB,6.0,53.0,"Round 6, Pick 3"
Shedeur for ROTY,Marcus,AJ Barner,TE,,,Undrafted
Shedeur for ROTY,Marcus,Saquon Barkley,RB,1.0,4.0,"Round 1, Pick 4"
Shedeur for ROTY,Marcus,Kyren Williams,RB,3.0,28.0,"Round 3, Pick 8"
Shedeur for ROTY,Marcus,Mark Andrews,TE,8.0,78.0,"Round 8, Pick 8"
Shedeur for ROTY,Marcus,Stefon Diggs,WR,9.0,87.0,"Round 9, Pick 7"
Shedeur for ROTY,Marcus,Travis Kelce,TE,8.0,73.0,"Round 8, Pick 3"
Shedeur for ROTY,Marcus,Xavier Worthy,WR,7.0,68.0,"Round 7, Pick 8"
Shedeur for ROTY,Marcus,Brock Purdy,QB,14.0,133.0,"Round 14, Pick 3"
Shedeur for ROTY,Marcus,Trevor Lawrence,QB,15.0,150.0,"Round 15, Pick 10"
Shedeur for ROTY,Marcus,Jake Bates,K,16.0,153.0,"Round 16, Pick 3"
Shedeur for ROTY,Marcus,Broncos,DEF,11.0,107.0,"Round 11, Pick 7"
Prestige Worldwide,Rimler,Caleb Williams,QB,14.0,132.0,"Round 14, Pick 2"
Prestige Worldwide,Rimler,DeVonta Smith,WR,7.0,65.0,"Round 7, Pick 5"
Prestige Worldwide,Rimler,Drake London,WR,2.0,16.0,"Round 2, Pick 6"
Prestige Worldwide,Rimler,Bijan Robinson,RB,1.0,5.0,"Round 1, Pick 5"
Prestige Worldwide,Rimler,Omarion Hampton,RB,3.0,25.0,"Round 3, Pick 5"
Prestige Worldwide,Rimler,Darren Waller,TE,,,Undrafted
Prestige Worldwide,Rimler,Javonte Williams,RB,11.0,105.0,"Round 11, Pick 5"
Prestige Worldwide,Rimler,Marvin Harrison Jr.,WR,4.0,36.0,"Round 4, Pick 6"
Prestige Worldwide,Rimler,TreVeyon Henderson,RB,5.0,45.0,"Round 5, Pick 5"
Prestige Worldwide,Rimler,DK Metcalf,WR,6.0,56.0,"Round 6, Pick 6"
Prestige Worldwide,Rimler,Aaron Rodgers,QB,,,Undrafted
Prestige Worldwide,Rimler,Troy Franklin,WR,,,Undrafted
Prestige Worldwide,Rimler,Oronde Gadsden,TE,,,Undrafted
Prestige Worldwide,Rimler,Chase McLaughlin,K,16.0,154.0,"Round 16, Pick 4"
Prestige Worldwide,Rimler,Chiefs,DEF,,,Undrafted
Prestige Worldwide,Rimler,Rams,DEF,,,Undrafted
Prestige Worldwide,Rimler,Patrick Mahomes,QB,8.0,76.0,"Round 8, Pick 6"
Stuffed Crust and Olives Must,Ricky,John Metchie III,WR,,,Undrafted
Stuffed Crust and Olives Must,Ricky,Jordan Addison,WR,9.0,81.0,"Round 9, Pick 1"
Stuffed Crust and Olives Must,Ricky,Zach Ertz,TE,12.0,120.0,"Round 12, Pick 10"
Stuffed Crust and Olives Must,Ricky,Bucky Irving,RB,3.0,21.0,"Round 3, Pick 1"
Stuffed Crust and Olives Must,Ricky,Aaron Jones Sr.,RB,6.0,60.0,"Round 6, Pick 10"
Stuffed Crust and Olives Must,Ricky,Jauan Jennings,WR,10.0,100.0,"Round 10, Pick 10"
Stuffed Crust and Olives Must,Ricky,Jakobi Meyers,WR,8.0,80.0,"Round 8, Pick 10"
Stuffed Crust and Olives Must,Ricky,A.J. Brown,WR,2.0,20.0,"Round 2, Pick 10"
Stuffed Crust and Olives Must,Ricky,Josh Allen,QB,1.0,1.0,"Round 1, Pick 1"
Stuffed Crust and Olives Must,Ricky,Chuba Hubbard,RB,5.0,41.0,"Round 5, Pick 1"
Stuffed Crust and Olives Must,Ricky,Alvin Kamara,RB,4.0,40.0,"Round 4, Pick 10"
Stuffed Crust and Olives Must,Ricky,Jared Goff,QB,15.0,141.0,"Round 15, Pick 1"
Stuffed Crust and Olives Must,Ricky,Jaxson Dart,QB,,,Undrafted
Stuffed Crust and Olives Must,Ricky,Joe Burrow,QB,4.0,34.0,"Round 4, Pick 4"
Stuffed Crust and Olives Must,Ricky,Wil Lutz,K,16.0,160.0,"Round 16, Pick 10"
Stuffed Crust and Olives Must,Ricky,Buccaneers,DEF,,,Undrafted
Stuffed Crust and Olives Must,Ricky,Joe Mixon,RB,11.0,101.0,"Round 11, Pick 1"
Skattman John,Pechman,Jalen Hurts,QB,3.0,30.0,"Round 3, Pick 10"
Skattman John,Pechman,Davante Adams,WR,5.0,50.0,"Round 5, Pick 10"
Skattman John,Pechman,Nico Collins,WR,2.0,11.0,"Round 2, Pick 1"
Skattman John,Pechman,Derrick Henry,RB,1.0,10.0,"Round 1, Pick 10"
Skattman John,Pechman,James Cook III,RB,4.0,31.0,"Round 4, Pick 1"
Skattman John,Pechman,Hunter Henry,TE,16.0,151.0,"Round 16, Pick 1"
Skattman John,Pechman,Woody Marks,RB,,,Undrafted
Skattman John,Pechman,Zay Flowers,WR,6.0,51.0,"Round 6, Pick 1"
Skattman John,Pechman,Dalton Schultz,TE,,,Undrafted
Skattman John,Pechman,Kimani Vidal,RB,,,Undrafted
Skattman John,Pechman,Rome Odunze,WR,8.0,71.0,"Round 8, Pick 1"
Skattman John,Pechman,Cam Skattebo,RB,10.0,91.0,"Round 10, Pick 1"
Skattman John,Pechman,Ka'imi Fairbairn,K,15.0,146.0,"Round 15, Pick 6"
Skattman John,Pechman,Steelers,DEF,12.0,111.0,"Round 12, Pick 1"
Skattman John,Pechman,Giants,DEF,,,Undrafted
Marvin Gaye & Charbonnet,Jake,Bo Nix,QB,9.0,84.0,"Round 9, Pick 4"
Marvin Gaye & Charbonnet,Jake,Courtland Sutton,WR,6.0,54.0,"Round 6, Pick 4"
Marvin Gaye & Charbonnet,Jake,Michael Wilson,WR,,,Undrafted
Marvin Gaye & Charbonnet,Jake,Josh Jacobs,RB,2.0,14.0,"Round 2, Pick 4"
Marvin Gaye & Charbonnet,Jake,Michael Carter,RB,,,Undrafted
Marvin Gaye & Charbonnet,Jake,Trey McBride,TE,3.0,27.0,"Round 3, Pick 7"
Marvin Gaye & Charbonnet,Jake,Amon-Ra St. Brown,WR,1.0,7.0,"Round 1, Pick 7"
Marvin Gaye & Charbonnet,Jake,Terry McLaurin,WR,4.0,37.0,"Round 4, Pick 7"
Marvin Gaye & Charbonnet,Jake,Emeka Egbuka,WR,7.0,67.0,"Round 7, Pick 7"
Marvin Gaye & Charbonnet,Jake,Brenton Strange,TE,,,Undrafted
Marvin Gaye & Charbonnet,Jake,RJ Harvey,RB,5.0,47.0,"Round 5, Pick 7"
Marvin Gaye & Charbonnet,Jake,Zach Charbonnet,RB,8.0,74.0,"Round 8, Pick 4"
Marvin Gaye & Charbonnet,Jake,Baker Mayfield,QB,12.0,114.0,"Round 12, Pick 4"
Marvin Gaye & Charbonnet,Jake,Brandon Aubrey,K,14.0,131.0,"Round 14, Pick 1"
Marvin Gaye & Charbonnet,Jake,Colts,DEF,,,Undrafted
Marvin Gaye & Charbonnet,Jake,Patriots,DEF,,,Undrafted
The Tone Zone,Nick,Justin Herbert,QB,7.0,62.0,"Round 7, Pick 2"
The Tone Zone,Nick,Ja'Marr Chase,WR,1.0,2.0,"Round 1, Pick 2"
The Tone Zone,Nick,Mike Evans,WR,4.0,39.0,"Round 4, Pick 9"
The Tone Zone,Nick,Jonathan Taylor,RB,2.0,19.0,"Round 2, Pick 9"
The Tone Zone,Nick,De'Von Achane,RB,3.0,22.0,"Round 3, Pick 2"
The Tone Zone,Nick,Tyler Warren,TE,8.0,79.0,"Round 8, Pick 9"
The Tone Zone,Nick,Wan'Dale Robinson,WR,,,Undrafted
The Tone Zone,Nick,Tony Pollard,RB,5.0,42.0,"Round 5, Pick 2"
The Tone Zone,Nick,Jacoby Brissett,QB,,,Undrafted
The Tone Zone,Nick,Deebo Samuel,WR,9.0,82.0,"Round 9, Pick 2"
The Tone Zone,Nick,DJ Moore,WR,6.0,59.0,"Round 6, Pick 9"
The Tone Zone,Nick,Jake Ferguson,TE,12.0,119.0,"Round 12, Pick 9"
The Tone Zone,Nick,Keenan Allen,WR,14.0,139.0,"Round 14, Pick 9"
The Tone Zone,Nick,Cooper Kupp,WR,13.0,122.0,"Round 13, Pick 2"
The Tone Zone,Nick,Cam Little,K,,,Undrafted
The Tone Zone,Nick,Jaguars,DEF,,,Undrafted
Portland Pizza Pies,Luke,Jordan Love,QB,,,Undrafted
Portland Pizza Pies,Luke,Puka Nacua,WR,3.0,23.0,"Round 3, Pick 3"
Portland Pizza Pies,Luke,Brian Thomas Jr.,WR,2.0,18.0,"Round 2, Pick 8"
Portland Pizza Pies,Luke,Jahmyr Gibbs,RB,1.0,3.0,"Round 1, Pick 3"
Portland Pizza Pies,Luke,Quinshon Judkins,RB,14.0,138.0,"Round 14, Pick 8"
Portland Pizza Pies,Luke,Harold Fannin Jr.,TE,,,Undrafted
Portland Pizza Pies,Luke,David Montgomery,RB,6.0,58.0,"Round 6, Pick 8"
Portland Pizza Pies,Luke,Jayden Higgins,WR,16.0,159.0,"Round 16, Pick 9"
Portland Pizza Pies,Luke,Ricky Pearsall,WR,9.0,83.0,"Round 9, Pick 3"
Portland Pizza Pies,Luke,Kayshon Boutte,WR,,,Undrafted
Portland Pizza Pies,Luke,Dalton Kincaid,TE,12.0,118.0,"Round 12, Pick 8"
Portland Pizza Pies,Luke,Keon Coleman,WR,10.0,98.0,"Round 10, Pick 8"
Portland Pizza Pies,Luke,Trey Benson,RB,13.0,123.0,"Round 13, Pick 3"
Portland Pizza Pies,Luke,Jayden Daniels,QB,5.0,43.0,"Round 5, Pick 3"
Portland Pizza Pies,Luke,Chris Boswell,K,15.0,143.0,"Round 15, Pick 3"
Portland Pizza Pies,Luke,Texans,DEF,14.0,140.0,"Round 14, Pick 10"
Portland Pizza Pies,Luke,Garrett Wilson,WR,4.0,38.0,"Round 4, Pick 8"
